,buy1,last,ma10min,ma5min,sell1
0,383.9,383.9,386.07700000000006,384.28599999999994,384
1,383.9,384.0,386.07700000000006,384.28599999999994,384
2,383.9,384.0,386.07700000000006,384.28599999999994,384
3,383.9,384.0,386.07700000000006,384.28599999999994,384
4,384,384.0,386.07700000000006,384.28599999999994,384.48
5,384,384.0,386.07700000000006,384.28599999999994,384.48
6,384,384.48,386.07700000000006,384.28599999999994,384.48
7,384,384.48,386.07700000000006,384.28599999999994,384.48
8,384.02,384.48,385.739,384.18,384.48
9,384.14,384.1,385.739,384.18,384.42
10,384.14,384.14,385.739,384.18,384.42
11,384.15,384.4,385.739,384.18,384.4
12,384.22,384.4,385.739,384.18,384.4
13,384.2,384.22,385.739,384.18,384.4
14,384.2,384.4,385.739,384.18,384.4
15,384.2,384.4,385.739,384.18,384.4
16,384.41,384.4,385.739,384.18,384.42
17,384.5,384.42,385.739,384.18,384.89
18,384.5,384.5,385.739,384.18,384.88
19,384.9,384.12,385.489,384.28000000000003,384.99
20,384.9,384.9,385.489,384.28000000000003,385
21,384.9,385.0,385.489,384.28000000000003,385
22,384.9,385.0,385.489,384.28000000000003,385
23,385.09,385.0,385.489,384.28000000000003,385.11
24,385.22,385.2,385.489,384.28000000000003,385.49
25,385.22,385.22,385.489,384.28000000000003,385.46
26,385.22,385.22,385.489,384.28000000000003,385.47
27,385.22,385.5,385.489,384.28000000000003,385.45
28,385.22,385.5,385.489,384.28000000000003,385.48
29,385.5,385.49,385.489,384.28000000000003,385.75
30,385.5,385.76,385.489,384.28000000000003,385.76
31,385.21,385.5,385.489,384.28000000000003,385.49
32,385.21,385.21,385.489,384.28000000000003,385.47
33,385.49,385.49,385.489,384.28000000000003,385.75
34,385.49,385.49,385.14,384.698,385.72
35,385.5,385.5,385.14,384.698,385.8
36,385.5,385.8,385.14,384.698,385.91
37,385.49,385.53,385.14,384.698,385.58
38,385.51,385.47,385.14,384.698,385.6
39,385.6,385.6,385.14,384.698,385.69
40,385.69,385.69,385.14,384.698,385.7
41,386.6,386.6,385.14,384.698,386.95
42,385.72,385.7,385.14,384.698,385.87
43,385.7,385.72,385.14,384.698,385.84
44,386.01,386.02,385.14,384.698,386.93
45,386.01,386.01,385.14,384.698,386.87
46,386.02,386.02,385.14,384.698,386.87
47,386.86,386.85,385.14,384.698,387.9
48,386,386.0,385.14,384.698,386.62
49,386.81,386.83,385.14,384.698,387
50,386.81,386.81,384.931,385.06,387
51,387,386.98,384.931,385.06,387.14
52,387.22,387.0,384.931,385.06,387.77
53,387.22,387.77,384.931,385.06,387.76
54,387.33,387.31,384.931,385.06,387.73
55,387.8,387.73,384.931,385.06,388
56,387.83,387.83,384.931,385.06,388.9
57,388.02,388.0,384.931,385.06,388.89
58,388.9,388.9,384.931,385.06,388.92
59,389,389.0,384.931,385.06,389.1
60,389.12,389.1,384.931,385.06,389.39
61,388.9,389.1,384.931,385.06,389
62,388.9,388.92,384.931,385.06,388.91
63,388.02,388.8,384.931,385.06,388.79
64,388.02,389.0,384.931,385.06,388.79
65,388.03,388.8,385.17099999999994,386.056,388.78
66,388.03,388.03,385.17099999999994,386.056,388.8
67,387,387.0,385.17099999999994,386.056,387.88
68,386.81,386.98,385.17099999999994,386.056,386.98
69,386.81,386.81,385.17099999999994,386.056,387.88
70,387,387.0,385.17099999999994,386.056,387.47
71,387,387.0,385.17099999999994,386.056,387.46
72,387,387.0,385.17099999999994,386.056,387.38
73,386.81,386.98,385.17099999999994,386.056,386.98
74,386.81,387.0,385.17099999999994,386.056,387
75,386.81,387.0,385.17099999999994,386.056,387
76,386.81,387.0,385.17099999999994,386.056,387
77,386.81,387.0,385.17099999999994,386.056,387
78,386.81,387.0,385.17099999999994,386.056,387
79,386.98,387.0,385.17099999999994,386.056,387
80,386.98,387.0,385.37,386.56,387
81,386.98,387.0,385.37,386.56,387
82,387.05,387.0,385.37,386.56,387.8
83,386.98,387.05,385.37,386.56,387
84,386.98,386.98,385.37,386.56,387
85,386.81,386.98,385.37,386.56,387
86,386.81,386.81,385.37,386.56,386.98
87,386.81,386.81,385.37,386.56,386.98
88,386.81,386.81,385.37,386.56,386.98
89,386.81,386.81,385.37,386.56,386.98
90,386.81,386.98,385.37,386.56,386.9
91,386.81,386.81,385.37,386.56,386.9
92,386.5,386.81,385.37,386.56,386.8
93,386.5,386.8,385.37,386.56,386.8
94,386.5,386.8,385.37,386.56,386.8
95,386.5,386.8,385.65000000000003,387.02,386.8
96,386.5,386.8,385.65000000000003,387.02,386.79
97,386.8,386.8,385.65000000000003,387.02,386.81
98,386.8,386.8,385.65000000000003,387.02,386.81
