,buy1,last,ma10min,ma5min,sell1
0,271.28,271.3,273.583,273.78599999999994,271.3
1,271.05,271.3,273.41300000000007,273.32599999999996,271.3
2,271.06,271.05,273.41300000000007,273.32599999999996,271.08
3,271.06,271.08,273.41300000000007,273.32599999999996,271.08
4,271.08,271.08,273.41300000000007,273.32599999999996,271.2
5,270.29,271.08,273.41300000000007,273.32599999999996,271.08
6,270.27,270.29,273.41300000000007,273.32599999999996,270.29
7,270.21,270.29,273.41300000000007,273.32599999999996,270.29
8,270.52,271.2,273.41300000000007,273.32599999999996,271.2
9,270.55,271.2,273.41300000000007,273.32599999999996,271.18
10,271,271.2,273.41300000000007,273.32599999999996,271.19
11,271.03,271.19,273.41300000000007,273.32599999999996,271.19
12,271.2,271.3,273.41300000000007,273.32599999999996,271.3
13,271.31,271.45,273.41300000000007,273.32599999999996,271.45
14,271.53,271.45,273.41300000000007,273.32599999999996,272
15,271.53,272.0,273.41300000000007,273.32599999999996,272
16,271.53,271.53,273.28499999999997,272.92,272
17,271.61,272.0,273.28499999999997,272.92,272
18,272,272.0,273.28499999999997,272.92,272.1
19,272,272.0,273.28499999999997,272.92,272.1
20,272.1,272.02,273.28499999999997,272.92,272.4
21,272.42,272.4,273.28499999999997,272.92,272.98
22,272.52,273.0,273.28499999999997,272.92,273
23,273,273.0,273.28499999999997,272.92,273.3
24,273.51,273.3,273.28499999999997,272.92,273.64
25,273.5,273.52,273.28499999999997,272.92,273.79
26,273.51,273.51,273.28499999999997,272.92,273.9
27,273.9,274.0,273.28499999999997,272.92,274
28,273.9,273.9,273.28499999999997,272.92,274
29,274,274.0,273.28499999999997,272.92,274.47
30,273.58,273.9,273.28499999999997,272.92,274
31,274.17,274.17,273.34499999999997,272.88,274.49
32,274.2,274.49,273.34499999999997,272.88,274.49
33,274.26,274.5,273.34499999999997,272.88,274.49
34,275,275.0,273.34499999999997,272.88,275.11
35,275.02,275.02,273.34499999999997,272.88,275.49
36,275.2,275.02,273.34499999999997,272.88,275.44
37,275.02,275.01,273.34499999999997,272.88,275.38
38,275.52,278.0,273.34499999999997,272.88,276.5
39,275.54,275.52,273.34499999999997,272.88,277.98
40,276.5,276.5,273.34499999999997,272.88,276.98
41,276.22,276.5,273.34499999999997,272.88,276.3
42,276.21,276.24,273.34499999999997,272.88,276.24
43,275.65,276.21,273.34499999999997,272.88,275.98
44,276,276.0,273.34499999999997,272.88,276.2
45,275.64,276.0,273.34499999999997,272.88,276
46,275.54,275.64,273.59299999999996,273.32,276
47,276,276.0,273.59299999999996,273.32,276.17
48,276,276.0,273.59299999999996,273.32,276.2
49,276,276.0,273.59299999999996,273.32,276.2
50,275.63,276.0,273.59299999999996,273.32,276.2
51,275.51,275.6,273.59299999999996,273.32,275.58
52,275.51,275.6,273.59299999999996,273.32,275.58
53,275.51,275.58,273.59299999999996,273.32,275.58
54,275.51,275.58,273.59299999999996,273.32,275.58
55,275.4,275.5,273.59299999999996,273.32,275.48
56,275,275.48,273.59299999999996,273.32,275.48
57,275.02,275.6,273.59299999999996,273.32,275.6
58,275.02,275.6,273.59299999999996,273.32,275.59
59,275.5,275.02,273.59299999999996,273.32,275.54
60,275,275.6,273.763,273.73999999999995,275.48
